State,District,SubDistrict,VillageName,Population,Area_Hectares,Literacy_Rate
Gujarat,Ahmedabad,Ahmedabad Taluka,Hari Kalan 5076,8017,1003.85,78.28
West Bengal,Howrah,Howrah Taluka,Naya Garh 5077,7394,1504.26,82.18
Karnataka,Belgaum,Belgaum Taluka,Kalakhurd 5078,2400,3687.22,
West Bengal,Howrah,Howrah Taluka,Nava Peta 5079,5834,1434.96,81.71
Gujarat,Surat,Surat Taluka,Nayagaon 5080,10405,1940.79,77.01
Uttar Pradesh,Varanasi,Varanasi Taluka,Lal Pur 5081,11467,178.16,
Gujarat,Surat,Surat Taluka,Nava Garh 5082,9965,3405.38,54.39
Uttar Pradesh,Varanasi,Varanasi Taluka,Kalawadi 5083,8248,3635.15,40.72
West Bengal,Durgapur,Durgapur Taluka,Naya Nagar 5084,2818,590.41,59.89
Karnataka,Mysore,Mysore Taluka,Naya Kalan 5085,5948,459.21,42.39
Punjab,Bathinda,Bathinda Taluka,Chhoti Halli 5086,1430,3482.41,58.37
Rajasthan,Kota,Kota Taluka,Lalhalli 5087,12486,660.2,94.23
Uttar Pradesh,Meerut,Meerut Taluka,Navapur 5088,14511,579.46,45.72
Gujarat,Rajkot,Rajkot Taluka,Navapur 5089,1139,2975.06,54.62
Bihar,Purnia,Purnia Taluka,Lalpur 5090,7819,4819.35,58.25
Bihar,Gaya,Gaya Taluka,Chhotigaon 5091,12711,753.31,60.65
Rajasthan,Jaipur,Jaipur Taluka,Lalkhurd 5092,,4500.18,69.08
Punjab,Bathinda,Bathinda Taluka,Chhotihalli 5093,810,4508.48,79.55
Tamil Nadu,Salem,Salem Taluka,Purakalan 5094,10497,724.6,55.92
Haryana,Faridabad,Faridabad Taluka,Kala Halli 5095,12136,1138.53,49.66
Maharashtra,Nagpur,Nagpur Taluka,Lalgaon 5096,6096,718.61,74.92
Uttar Pradesh,Varanasi,Varanasi Taluka,Hari Pur 5097,13958,3208.46,77.2
Haryana,Ambala,Ambala Taluka,Nayawadi 5098,1707,4247.99,80.47
Maharashtra,Nagpur,Nagpur Taluka,Lalgaon 5099,14426,1537.36,83.64
Haryana,Panipat,Panipat Taluka,Nayanagar 5100,,3735.46,73.97
Haryana,Gurugram,Gurugram Taluka,Motikhurd 5101,8111,609.36,77.03
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Chhoti Pur 5102,1857,3769.95,77.02
Bihar,Bhagalpur,Bhagalpur Taluka,Motipur 5103,4450,3505.75,61.48
Rajasthan,Jodhpur,Jodhpur Taluka,Moti Pur 5104,7783,4745.1,64.42
Bihar,Bhagalpur,Bhagalpur Taluka,Chhoti Halli 5105,5268,4558.78,44.4
Tamil Nadu,Chennai,Chennai Taluka,Navagarh 5106,13284,1582.25,57.86
Bihar,Patna,Patna Taluka,Moti Wadi 5107,6996,4991.58,64.34
West Bengal,Darjeeling,Darjeeling Taluka,Navanagar 5108,,383.52,66.69
Uttar Pradesh,Agra,Agra Taluka,Moti Kalan 5109,13646,3776.58,66.84
Maharashtra,Thane,Thane Taluka,Nava Wadi 5110,13491,4685.88,82.83
Rajasthan,Jaipur,Jaipur Taluka,Chhoti Pur 5111,2073,4070.29,81.03
Gujarat,Surat,Surat Taluka,Naya Pur 5112,7787,3784.58,49.67
Maharashtra,Mumbai,Mumbai Taluka,Motiwadi 5113,13088,387.89,72.88
West Bengal,Durgapur,Durgapur Taluka,Motikalan 5114,9510,4377.54,82.5
Karnataka,Bangalore,Bangalore Taluka,Chhotigaon 5115,10900,1034.41,59.5
Maharashtra,Pune,Pune Taluka,Kala Gaon 5116,14371,1237.25,61.69
Uttar Pradesh,Varanasi,Varanasi Taluka,Kalahalli 5117,,4875.6,56.42
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Lalgarh 5118,12635,4126.84,69.62
Karnataka,Mysore,Mysore Taluka,Moti Nagar 5119,7524,3304.43,82.97
Haryana,Ambala,Ambala Taluka,Kalahalli 5120,7492,2955.36,80.91
Bihar,Gaya,Gaya Taluka,Nayakhurd 5121,991,595.64,91.23
Bihar,Bhagalpur,Bhagalpur Taluka,Kala Khurd 5122,8483,3909.18,91.13
Bihar,Purnia,Purnia Taluka,Kala Wadi 5123,12418,3890.68,53.11
Bihar,Purnia,Purnia Taluka,Nayahalli 5124,9531,210.98,94.18
West Bengal,Darjeeling,Darjeeling Taluka,Kalagarh 5125,7974,931.94,51.56
Maharashtra,Nashik,Nashik Taluka,Navapur 5126,3862,1826.7,82.86
Karnataka,Mysore,Mysore Taluka,Pura Nagar 5127,167,526.22,62.26
Rajasthan,Jaipur,Jaipur Taluka,Harigarh 5128,2473,2057.72,78.76
Rajasthan,Jodhpur,Jodhpur Taluka,Motiwadi 5129,4409,3816.09,88.64
Haryana,Ambala,Ambala Taluka,Hari Garh 5130,14573,2016.23,74.42
Uttar Pradesh,Lucknow,Lucknow Taluka,Nayakhurd 5131,3642,1547.24,48.22
West Bengal,Howrah,Howrah Taluka,Nava Pur 5132,9953,2424.76,91.82
Uttar Pradesh,Agra,Agra Taluka,Lalgarh 5133,14226,3491.87,71.93
Uttar Pradesh,Meerut,Meerut Taluka,Lal Halli 5134,9113,235.45,90.21
West Bengal,Kolkata,Kolkata Taluka,Badi Wadi 5135,11437,2622.67,92.97
Rajasthan,Kota,Kota Taluka,Harihalli 5136,,792.54,51.53
Karnataka,Mysore,Mysore Taluka,Chhotikhurd 5137,3634,2497.4,76.91
Maharashtra,Nashik,Nashik Taluka,Pura Halli 5138,4738,1130.05,93.58
Karnataka,Bangalore,Bangalore Taluka,Moti Gaon 5139,7371,2369.18,46.87
Tamil Nadu,Coimbatore,Coimbatore Taluka,Lalhalli 5140,6751,2860.16,67.31
Tamil Nadu,Madurai,Madurai Taluka,Harigaon 5141,11451,299.09,50.75
Uttar Pradesh,Kanpur,Kanpur Taluka,Kala Wadi 5142,11015,2963.85,50.57
Haryana,Gurugram,Gurugram Taluka,Lal Pur 5143,2024,3460.74,76.39
Rajasthan,Udaipur,Udaipur Taluka,Chhoti Garh 5144,13683,692.34,
Rajasthan,Ajmer,Ajmer Taluka,Puragaon 5145,8897,1211.34,94.52
Karnataka,Mysore,Mysore Taluka,Lal Gaon 5146,8350,3814.49,86.4
Punjab,Jalandhar,Jalandhar Taluka,Badikalan 5147,7704,1260.04,44.53
Punjab,Patiala,Patiala Taluka,Chhotiwadi 5148,6842,4526.98,91.48
Maharashtra,Pune,Pune Taluka,Lal Kalan 5149,1245,2169.64,70.03
Karnataka,Hubli,Hubli Taluka,Hari Nagar 5150,7556,1327.26,70.82
Haryana,Faridabad,Faridabad Taluka,Purawadi 5151,5356,2183.63,72.14
Gujarat,Vadodara,Vadodara Taluka,Purahalli 5152,3641,3624.18,42.57
Tamil Nadu,Madurai,Madurai Taluka,Hari Garh 5153,13524,4238.7,93.42
Gujarat,Surat,Surat Taluka,Kalapur 5154,6612,4405.23,60.51
Punjab,Amritsar,Amritsar Taluka,Purakhurd 5155,10457,640.16,81.64
Uttar Pradesh,Agra,Agra Taluka,Kala Pur 5156,,4521.32,91.82
Maharashtra,Mumbai,Mumbai Taluka,Kala Peta 5157,5597,1195.87,70.83
Uttar Pradesh,Lucknow,Lucknow Taluka,Hari Wadi 5158,12943,123.63,88.09
Haryana,Faridabad,Faridabad Taluka,Hari Garh 5159,7194,3723.6,83.64
Tamil Nadu,Madurai,Madurai Taluka,Nayapeta 5160,1530,1400.75,42.77
Gujarat,Vadodara,Vadodara Taluka,Lalkalan 5161,1993,3317.25,73.09
Gujarat,Rajkot,Rajkot Taluka,Chhoti Halli 5162,6986,3326.06,60.69
Maharashtra,Nagpur,Nagpur Taluka,Badi Halli 5163,5811,564.21,67.71
Tamil Nadu,Salem,Salem Taluka,Kala Kalan 5164,1122,353.07,94.75
Haryana,Panipat,Panipat Taluka,Nava Khurd 5165,4318,2011.73,71.31
Maharashtra,Pune,Pune Taluka,Hari Wadi 5166,7497,645.66,86.02
Uttar Pradesh,Agra,Agra Taluka,Hari Peta 5167,1552,697.08,71.51
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Puragarh 5168,3401,3946.95,41.32
Maharashtra,Thane,Thane Taluka,Navapur 5169,9677,1260.83,44.54
Haryana,Gurugram,Gurugram Taluka,Puranagar 5170,4995,1148.32,84.46
Bihar,Bhagalpur,Bhagalpur Taluka,Kala Pur 5171,3411,859.86,69.29
Bihar,Purnia,Purnia Taluka,Naya Khurd 5172,13504,1214.24,40.13
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Navanagar 5173,3187,1744.55,51.03
Maharashtra,Mumbai,Mumbai Taluka,Kala Gaon 5174,8989,1414.72,76.3
Rajasthan,Udaipur,Udaipur Taluka,Pura Pur 5175,8307,228.84,73.98
Rajasthan,Kota,Kota Taluka,Nava Halli 5176,5530,423.06,44.76
Maharashtra,Thane,Thane Taluka,Badi Nagar 5177,2482,2766.78,
Rajasthan,Udaipur,Udaipur Taluka,Motigarh 5178,14334,1137.52,89.65
Punjab,Amritsar,Amritsar Taluka,Nayapur 5179,5812,3437.37,66.25
Rajasthan,Ajmer,Ajmer Taluka,Moti Gaon 5180,11278,369.62,60.43
Haryana,Panipat,Panipat Taluka,Hari Gaon 5181,5252,2979.1,88.13
Punjab,Patiala,Patiala Taluka,Chhoti Halli 5182,8943,397.89,61.8
Rajasthan,Udaipur,Udaipur Taluka,Harikhurd 5183,6733,512.73,58.99
Rajasthan,Jaipur,Jaipur Taluka,Nava Wadi 5184,8323,2423.08,59.47
Bihar,Purnia,Purnia Taluka,Hari Peta 5185,7930,4331.42,92.76
Rajasthan,Jodhpur,Jodhpur Taluka,Pura Khurd 5186,10194,1280.41,54.75
Punjab,Patiala,Patiala Taluka,Chhotikhurd 5187,13279,2307.64,54.13
Tamil Nadu,Coimbatore,Coimbatore Taluka,Kalagarh 5188,4743,2392.26,65.29
Punjab,Amritsar,Amritsar Taluka,Nava Halli 5189,1971,339.66,46.31
Maharashtra,Mumbai,Mumbai Taluka,Lal Khurd 5190,1711,4033.05,84.07
Bihar,Gaya,Gaya Taluka,Lal Pur 5191,2028,2559.57,
Maharashtra,Nashik,Nashik Taluka,Nayahalli 5192,10347,4243.74,89.37
Karnataka,Mangalore,Mangalore Taluka,Naya Pur 5193,3589,2741.5,42.43
West Bengal,Kolkata,Kolkata Taluka,Kalakhurd 5194,3890,880.62,61.9
Uttar Pradesh,Kanpur,Kanpur Taluka,Lalkhurd 5195,4249,4198.12,71.79
Tamil Nadu,Madurai,Madurai Taluka,Lalgarh 5196,14325,3840.38,67.81
Haryana,Rohtak,Rohtak Taluka,Pura Wadi 5197,11382,3452.32,49.47
Uttar Pradesh,Kanpur,Kanpur Taluka,Naya Halli 5198,8219,2632.74,54.77
Maharashtra,Pune,Pune Taluka,Lalkalan 5199,6099,3187.3,51.04
Bihar,Bhagalpur,Bhagalpur Taluka,Kala Pur 5200,,1424.49,88.97
Uttar Pradesh,Kanpur,Kanpur Taluka,Pura Halli 5201,1747,2827.72,41.34
Bihar,Gaya,Gaya Taluka,Nayanagar 5202,,2704.58,89.03
Haryana,Panipat,Panipat Taluka,Hari Kalan 5203,4465,4325.85,77.82
Karnataka,Mysore,Mysore Taluka,Motinagar 5204,462,67.98,
Karnataka,Belgaum,Belgaum Taluka,Navakhurd 5205,14154,1362.02,46.17
Karnataka,Mangalore,Mangalore Taluka,Nayanagar 5206,1991,371.69,41.14
Tamil Nadu,Coimbatore,Coimbatore Taluka,Nava Peta 5207,1060,3616.63,
Punjab,Amritsar,Amritsar Taluka,Motipur 5208,9648,4208.96,73.26
Uttar Pradesh,Lucknow,Lucknow Taluka,Chhoti Nagar 5209,8948,4972.69,55.75
Karnataka,Hubli,Hubli Taluka,Moti Nagar 5210,8734,3202.14,57.64
Rajasthan,Udaipur,Udaipur Taluka,Badi Kalan 5211,11586,2789.18,54.75
Haryana,Ambala,Ambala Taluka,Motiwadi 5212,7330,2896.82,88.3
Bihar,Muzaffarpur,Muzaffarpur Taluka,Lalgarh 5213,8682,1846.67,88.63
West Bengal,Darjeeling,Darjeeling Taluka,Naya Khurd 5214,5823,4608.21,82.28
Haryana,Rohtak,Rohtak Taluka,Moti Halli 5215,2815,4340.25,81.19
Punjab,Amritsar,Amritsar Taluka,Naya Pur 5216,7129,4504.31,60.99
Punjab,Patiala,Patiala Taluka,Hari Halli 5217,3842,4384.78,56.69
Punjab,Ludhiana,Ludhiana Taluka,Naya Peta 5218,2702,4635.0,68.29
Punjab,Bathinda,Bathinda Taluka,Motinagar 5219,6787,2058.72,64.2
West Bengal,Darjeeling,Darjeeling Taluka,Kala Kalan 5220,,3887.17,56.35
Karnataka,Hubli,Hubli Taluka,Naya Gaon 5221,11508,240.99,84.38
Haryana,Faridabad,Faridabad Taluka,Hari Pur 5222,10298,3433.38,83.63
Gujarat,Rajkot,Rajkot Taluka,Navagarh 5223,5641,1485.03,68.56
Punjab,Bathinda,Bathinda Taluka,Badi Pur 5224,,2691.33,42.12
Gujarat,Bhavnagar,Bhavnagar Taluka,Badi Wadi 5225,2553,3861.07,54.75
West Bengal,Durgapur,Durgapur Taluka,Chhotiwadi 5226,8615,991.2,48.09
Maharashtra,Pune,Pune Taluka,Hari Peta 5227,13645,1223.02,80.8
Rajasthan,Jodhpur,Jodhpur Taluka,Nayawadi 5228,5599,1680.2,68.01
Tamil Nadu,Salem,Salem Taluka,Kalahalli 5229,14938,1878.33,67.02
Tamil Nadu,Salem,Salem Taluka,Chhoti Wadi 5230,1637,1090.63,40.42
West Bengal,Darjeeling,Darjeeling Taluka,Lalpeta 5231,1402,3581.16,
Gujarat,Ahmedabad,Ahmedabad Taluka,Badigaon 5232,891,4757.34,78.83
Maharashtra,Thane,Thane Taluka,Nava Pur 5233,13316,2068.94,62.52
Karnataka,Belgaum,Belgaum Taluka,Lal Pur 5234,3096,3440.21,87.64
Karnataka,Mangalore,Mangalore Taluka,Nava Pur 5235,11149,2875.38,76.98
Tamil Nadu,Chennai,Chennai Taluka,Kala Halli 5236,,1110.41,76.96
Gujarat,Bhavnagar,Bhavnagar Taluka,Pura Nagar 5237,3756,4273.67,62.61
Maharashtra,Mumbai,Mumbai Taluka,Hari Khurd 5238,13962,4650.93,44.03
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Kala Wadi 5239,5729,4824.79,51.78
Rajasthan,Kota,Kota Taluka,Hari Khurd 5240,5068,3430.7,85.7
Maharashtra,Nagpur,Nagpur Taluka,Chhotigarh 5241,14807,1849.54,73.01
Tamil Nadu,Chennai,Chennai Taluka,Chhoti Garh 5242,9344,2539.22,57.87
Gujarat,Vadodara,Vadodara Taluka,Pura Halli 5243,1012,4614.9,69.25
Maharashtra,Nashik,Nashik Taluka,Chhoti Pur 5244,7964,2888.49,61.44
Karnataka,Mangalore,Mangalore Taluka,Chhotipeta 5245,11323,4385.42,61.39
Bihar,Gaya,Gaya Taluka,Moti Pur 5246,5824,1012.6,65.67
Uttar Pradesh,Kanpur,Kanpur Taluka,Hari Peta 5247,11671,915.78,64.49
Tamil Nadu,Salem,Salem Taluka,Lalgaon 5248,14781,2371.93,90.13
Bihar,Patna,Patna Taluka,Pura Halli 5249,12424,380.27,83.29
Tamil Nadu,Chennai,Chennai Taluka,Motigaon 5250,14067,634.93,43.12
Uttar Pradesh,Lucknow,Lucknow Taluka,Pura Gaon 5251,1592,304.4,47.6
Karnataka,Mysore,Mysore Taluka,Lalpur 5252,,4151.37,80.58
Bihar,Purnia,Purnia Taluka,Navagarh 5253,12282,2456.09,85.2
Gujarat,Ahmedabad,Ahmedabad Taluka,Motigarh 5254,4536,3725.66,47.6
Punjab,Bathinda,Bathinda Taluka,Motihalli 5255,8095,3001.1,55.9
Punjab,Ludhiana,Ludhiana Taluka,Purakhurd 5256,13342,3472.84,63.03
Maharashtra,Nagpur,Nagpur Taluka,Lal Kalan 5257,437,1120.77,40.46
Punjab,Bathinda,Bathinda Taluka,Lal Pur 5258,11849,3467.47,50.51
Rajasthan,Kota,Kota Taluka,Hari Khurd 5259,6372,2557.36,94.49
Gujarat,Bhavnagar,Bhavnagar Taluka,Chhotigaon 5260,6121,3612.7,80.84
Bihar,Purnia,Purnia Taluka,Lalpeta 5261,5848,1192.96,73.39
Haryana,Ambala,Ambala Taluka,Badi Garh 5262,3802,2390.89,
Haryana,Faridabad,Faridabad Taluka,Badi Garh 5263,4542,4742.6,80.51
Tamil Nadu,Salem,Salem Taluka,Naya Khurd 5264,6878,2033.47,41.67
West Bengal,Durgapur,Durgapur Taluka,Puragarh 5265,767,1656.13,46.26
Rajasthan,Kota,Kota Taluka,Chhoti Gaon 5266,11576,4401.03,61.92
Maharashtra,Nashik,Nashik Taluka,Nayakalan 5267,14612,1396.09,86.89
Rajasthan,Udaipur,Udaipur Taluka,Kala Wadi 5268,10702,3717.81,87.47
Rajasthan,Jaipur,Jaipur Taluka,Moti Gaon 5269,10386,3525.93,65.87
Gujarat,Surat,Surat Taluka,Kalahalli 5270,6701,2167.06,92.18
Karnataka,Bangalore,Bangalore Taluka,Purakalan 5271,7608,3597.37,83.96
Karnataka,Bangalore,Bangalore Taluka,Badigaon 5272,6886,4608.76,41.16
West Bengal,Darjeeling,Darjeeling Taluka,Badi Halli 5273,9792,4021.12,68.6
Karnataka,Mangalore,Mangalore Taluka,Navapur 5274,,728.33,83.66
West Bengal,Howrah,Howrah Taluka,Lal Kalan 5275,13751,4676.53,88.37
Tamil Nadu,Madurai,Madurai Taluka,Lalnagar 5276,10486,4168.19,60.33
Maharashtra,Pune,Pune Taluka,Navagarh 5277,10790,3342.99,50.99
Gujarat,Surat,Surat Taluka,Hari Gaon 5278,13904,1463.59,52.27
Uttar Pradesh,Kanpur,Kanpur Taluka,Haripeta 5279,9223,4328.83,93.76
Rajasthan,Kota,Kota Taluka,Moti Kalan 5280,13097,1732.48,51.83
Maharashtra,Nashik,Nashik Taluka,Kalahalli 5281,12311,4587.7,51.09
Bihar,Purnia,Purnia Taluka,Purawadi 5282,807,4291.04,91.45
Uttar Pradesh,Agra,Agra Taluka,Pura Kalan 5283,10655,2194.67,82.97
Gujarat,Vadodara,Vadodara Taluka,Badihalli 5284,13939,128.41,82.34
Tamil Nadu,Madurai,Madurai Taluka,Chhotiwadi 5285,12635,154.36,60.81
West Bengal,Darjeeling,Darjeeling Taluka,Motigarh 5286,12179,3539.37,71.01
Rajasthan,Kota,Kota Taluka,Hari Khurd 5287,5493,231.63,68.03
Karnataka,Belgaum,Belgaum Taluka,Purahalli 5288,11900,4469.69,70.64
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Nayanagar 5289,12900,2409.01,77.08
West Bengal,Siliguri,Siliguri Taluka,Chhotikalan 5290,11137,3346.07,68.65
Gujarat,Surat,Surat Taluka,Navakhurd 5291,11281,1284.66,84.17
Rajasthan,Kota,Kota Taluka,Pura Khurd 5292,911,216.14,75.26
Rajasthan,Ajmer,Ajmer Taluka,Pura Pur 5293,,3314.2,68.48
Karnataka,Belgaum,Belgaum Taluka,Kala Pur 5294,12570,3076.18,85.66
Karnataka,Hubli,Hubli Taluka,Navanagar 5295,2633,3541.99,72.24
Uttar Pradesh,Agra,Agra Taluka,Kalanagar 5296,2429,528.13,74.69
Tamil Nadu,Coimbatore,Coimbatore Taluka,Pura Gaon 5297,5961,1784.02,52.04
Rajasthan,Jodhpur,Jodhpur Taluka,Navagaon 5298,11697,99.49,93.94
Haryana,Gurugram,Gurugram Taluka,Purapeta 5299,2362,4746.89,80.77
Karnataka,Mangalore,Mangalore Taluka,Navanagar 5300,14456,2393.05,46.1
West Bengal,Durgapur,Durgapur Taluka,Badi Khurd 5301,12125,377.01,85.83
Uttar Pradesh,Kanpur,Kanpur Taluka,Badi Wadi 5302,225,1047.06,58.49
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Badi Khurd 5303,10043,1196.43,42.71
Rajasthan,Jodhpur,Jodhpur Taluka,Navakhurd 5304,1686,4457.3,93.8
Uttar Pradesh,Agra,Agra Taluka,Chhotipeta 5305,12237,4400.53,74.3
Bihar,Bhagalpur,Bhagalpur Taluka,Naya Nagar 5306,11511,4819.75,92.85
Punjab,Jalandhar,Jalandhar Taluka,Pura Nagar 5307,5549,2849.78,69.57
Bihar,Gaya,Gaya Taluka,Navawadi 5308,12472,297.12,76.48
Punjab,Patiala,Patiala Taluka,Motinagar 5309,3883,301.48,69.62
Gujarat,Vadodara,Vadodara Taluka,Lalpur 5310,3419,1442.66,83.8
Karnataka,Mangalore,Mangalore Taluka,Puranagar 5311,7847,3211.91,72.05
Haryana,Ambala,Ambala Taluka,Moti Garh 5312,838,1432.65,77.88
Uttar Pradesh,Kanpur,Kanpur Taluka,Kala Wadi 5313,9771,1838.86,94.53
Maharashtra,Nashik,Nashik Taluka,Badipur 5314,7792,3369.64,54.43
Rajasthan,Jaipur,Jaipur Taluka,Badi Halli 5315,11003,820.86,60.73
West Bengal,Durgapur,Durgapur Taluka,Naya Kalan 5316,9661,530.66,48.82
Karnataka,Mangalore,Mangalore Taluka,Pura Gaon 5317,12273,608.92,60.46
Haryana,Ambala,Ambala Taluka,Chhoti Gaon 5318,7823,1660.66,86.36
Bihar,Muzaffarpur,Muzaffarpur Taluka,Haripeta 5319,5650,1159.58,
Tamil Nadu,Coimbatore,Coimbatore Taluka,Nava Pur 5320,11236,3079.4,61.32
Rajasthan,Kota,Kota Taluka,Motikalan 5321,12933,3578.14,42.49
Rajasthan,Ajmer,Ajmer Taluka,Chhoti Khurd 5322,4265,3219.14,59.7
Bihar,Gaya,Gaya Taluka,Badigaon 5323,10592,4197.32,76.44
Punjab,Amritsar,Amritsar Taluka,Nava Khurd 5324,11404,543.42,91.44
Punjab,Patiala,Patiala Taluka,Chhoti Peta 5325,,1583.52,50.28
Gujarat,Surat,Surat Taluka,Kala Peta 5326,7197,3251.44,71.44
Karnataka,Bangalore,Bangalore Taluka,Hari Wadi 5327,12248,418.97,65.65
West Bengal,Howrah,Howrah Taluka,Lal Wadi 5328,11754,2011.63,81.2
Bihar,Bhagalpur,Bhagalpur Taluka,Kala Nagar 5329,5823,3303.62,91.79
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Badipur 5330,3284,4661.07,41.5
Maharashtra,Pune,Pune Taluka,Chhotigaon 5331,9210,1951.69,78.23
Bihar,Patna,Patna Taluka,Lal Pur 5332,,818.18,43.49
Tamil Nadu,Coimbatore,Coimbatore Taluka,Pura Garh 5333,6146,2420.59,67.38
Uttar Pradesh,Varanasi,Varanasi Taluka,Moti Wadi 5334,14052,4033.53,
Maharashtra,Thane,Thane Taluka,Purapeta 5335,,3666.72,68.2
West Bengal,Howrah,Howrah Taluka,Kala Nagar 5336,470,4599.62,53.04
Gujarat,Bhavnagar,Bhavnagar Taluka,Chhoti Wadi 5337,1886,2437.46,76.79
Bihar,Bhagalpur,Bhagalpur Taluka,Nayakalan 5338,4597,805.33,64.89
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Chhotinagar 5339,4138,1110.25,51.08
Haryana,Faridabad,Faridabad Taluka,Purakhurd 5340,12050,3076.05,57.82
Rajasthan,Udaipur,Udaipur Taluka,Motikalan 5341,5255,3960.46,70.65
Gujarat,Vadodara,Vadodara Taluka,Puragarh 5342,12318,4843.81,73.41
Tamil Nadu,Salem,Salem Taluka,Navakalan 5343,9545,1869.03,43.74
Rajasthan,Ajmer,Ajmer Taluka,Chhoti Khurd 5344,5144,3592.42,
Maharashtra,Thane,Thane Taluka,Lal Peta 5345,3997,3245.45,78.5
West Bengal,Durgapur,Durgapur Taluka,Nava Halli 5346,10074,4636.94,43.79
Haryana,Ambala,Ambala Taluka,Moti Gaon 5347,8995,2989.82,72.87
Uttar Pradesh,Lucknow,Lucknow Taluka,Moti Halli 5348,1912,1881.69,51.39
Karnataka,Mangalore,Mangalore Taluka,Purapur 5349,5210,1407.36,71.63
Punjab,Bathinda,Bathinda Taluka,Badi Nagar 5350,11980,3316.92,43.22
Uttar Pradesh,Meerut,Meerut Taluka,Lal Peta 5351,,841.45,44.71
Bihar,Purnia,Purnia Taluka,Naya Nagar 5352,6931,2931.46,41.81
Gujarat,Rajkot,Rajkot Taluka,Badikhurd 5353,4304,3634.07,58.67
Bihar,Patna,Patna Taluka,Motigarh 5354,13817,213.61,61.16
Punjab,Jalandhar,Jalandhar Taluka,Naya Halli 5355,5109,2107.54,83.3
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Hari Kalan 5356,2881,1569.72,45.1
Punjab,Ludhiana,Ludhiana Taluka,Naya Pur 5357,4729,4153.7,73.59
Maharashtra,Nashik,Nashik Taluka,Harikhurd 5358,5490,1061.43,70.79
Haryana,Panipat,Panipat Taluka,Pura Nagar 5359,6191,3993.38,55.42
Haryana,Rohtak,Rohtak Taluka,Lalgarh 5360,2737,147.91,46.14
Karnataka,Mysore,Mysore Taluka,Chhoti Nagar 5361,5177,4256.41,75.31
Tamil Nadu,Coimbatore,Coimbatore Taluka,Lal Wadi 5362,3953,1980.98,
Maharashtra,Thane,Thane Taluka,Moti Khurd 5363,6557,2247.67,65.02
Maharashtra,Pune,Pune Taluka,Badi Garh 5364,7704,3954.11,88.24
West Bengal,Howrah,Howrah Taluka,Moti Peta 5365,14214,301.1,43.62
Bihar,Purnia,Purnia Taluka,Nayapeta 5366,14872,3849.82,51.78
Uttar Pradesh,Kanpur,Kanpur Taluka,Motigaon 5367,6218,1440.39,47.77
Haryana,Faridabad,Faridabad Taluka,Lalkhurd 5368,,455.26,64.8
Punjab,Amritsar,Amritsar Taluka,Pura Halli 5369,7371,2223.94,62.39
Punjab,Amritsar,Amritsar Taluka,Naya Kalan 5370,13484,1514.94,86.09
Gujarat,Surat,Surat Taluka,Kala Peta 5371,,3713.03,69.51
West Bengal,Durgapur,Durgapur Taluka,Chhoti Nagar 5372,6102,413.08,
Karnataka,Bangalore,Bangalore Taluka,Badi Gaon 5373,10253,140.07,90.62
West Bengal,Durgapur,Durgapur Taluka,Chhoti Pur 5374,10332,800.4,
Gujarat,Surat,Surat Taluka,Harigaon 5375,1148,1868.46,81.45
Rajasthan,Jodhpur,Jodhpur Taluka,Harigarh 5376,9025,1871.03,69.76
Maharashtra,Pune,Pune Taluka,Lal Halli 5377,230,829.24,89.42
Rajasthan,Kota,Kota Taluka,Chhoti Garh 5378,3611,4252.0,81.26
Haryana,Faridabad,Faridabad Taluka,Naya Pur 5379,2355,2170.15,76.2
Haryana,Ambala,Ambala Taluka,Lal Wadi 5380,9629,1321.85,86.97
Tamil Nadu,Tiruchirappalli,Tiruchirappalli Taluka,Puranagar 5381,,3531.2,43.71
Rajasthan,Udaipur,Udaipur Taluka,Naya Kalan 5382,8027,1592.5,69.46
Karnataka,Hubli,Hubli Taluka,Pura Peta 5383,10813,2670.89,94.12
Uttar Pradesh,Agra,Agra Taluka,Puragarh 5384,2565,3423.9,78.0
Haryana,Faridabad,Faridabad Taluka,Motihalli 5385,6206,1820.99,55.92
Bihar,Purnia,Purnia Taluka,Pura Peta 5386,13223,894.7,86.52
Tamil Nadu,Coimbatore,Coimbatore Taluka,Badigarh 5387,7171,4433.55,76.43
Bihar,Bhagalpur,Bhagalpur Taluka,Purawadi 5388,5753,1610.12,43.67
Punjab,Ludhiana,Ludhiana Taluka,Hari Khurd 5389,12512,2849.79,61.79
West Bengal,Durgapur,Durgapur Taluka,Lal Peta 5390,7351,305.62,51.13
Haryana,Panipat,Panipat Taluka,Motiwadi 5391,,3250.71,58.93
Punjab,Jalandhar,Jalandhar Taluka,Purakalan 5392,263,132.37,44.45
Maharashtra,Pune,Pune Taluka,Kala Garh 5393,10747,4505.46,68.73
